WINNING_TEAM, LOSING_TEAM
Northwestern LA,Louisiana Tech
Pacific,Nevada
Howard,American Univ
Bradley,G Washington
Northwestern,Baylor
NC State,Connecticut
Lafayette,St Francis PA
Robert Morris,Campbell
Arkansas,Oklahoma
Weber St,Utah Valley
Michigan St,Ark Pine Bluff
Maryland,MD E Shore
Butler,IUPUI
Denver,Mercer
Memphis,Ohio
Evansville,Miami OH
La Salle,Penn St
James Madison,ETSU
Florida,Florida St
Pepperdine,UC Riverside
Pittsburgh,Duquesne
Utah,Boise St
Buffalo,WI Milwaukee
Middle Tenn St,UAB
Navy,Monmouth NJ
Tulsa,Missouri St
Northern Iowa,N Colorado
St Mary's CA,Drake
Temple,Villanova
N Dakota St,Morehead St
Wofford,Gardner Webb
W Illinois,E Illinois
Oklahoma St,South Florida
Quinnipiac,Colgate
Wake Forest,High Point
N Illinois,Edwardsville
Valparaiso,IPFW
West Virginia,Marshall
DePaul,Chicago St
Oral Roberts,Texas St
San Jose St,UC Davis
Colorado,Colorado St
Virginia,Tennessee
New Mexico,USC
Texas A&M,SF Austin
Arizona St,Hartford
Detroit,Toledo
Loy Marymount,Northern Arizona
Holy Cross,Sacred Heart
Dayton,Alabama
Charlotte,Davidson
St Louis,North Texas
Towson,Vermont
Albany NY,St Francis NY
Central Conn,New Hampshire
Missouri KC,North Dakota
Gonzaga,Washington St
St Peter's,Iona
Yale,Bryant
Niagara,Loyola MD
Cent Arkansas,TN Martin
W Kentucky,S Illinois
Cincinnati,Ark Little Rock
Syracuse,Long Beach St
Creighton,Nebraska
Providence,Rhode Island
San Diego St,Santa Barbara
FL Atlantic,Stetson
William & Mary,Howard
Tennessee Tech,WI Green Bay
Boston Univ,Coastal Car
American Univ,MD Baltimore Co
Vanderbilt,Xavier
Idaho,E Washington
CS Bakersfield,CS Fullerton
South Carolina,Jacksonville
VA Commonwealth,Old Dominion
Canisius,Fairfield
Iowa,Iowa St
Connecticut,Harvard
Mt St Mary's,Navy
WI Milwaukee,N Illinois
Rider,Siena
Marist,Manhattan
F Dickinson,Lafayette
Louisville,Missouri KC
Oregon,Idaho St
Syracuse,Monmouth NJ
Pittsburgh,North Florida
Kansas,Colorado
Ohio St,Long Beach St
Wright St,VMI
Cincinnati,MD E Shore
Oregon St,Grambling
Indiana,Central Conn
Missouri,Tennessee St
Virginia,MS Valley St
Kentucky,Portland
Notre Dame,Brown
Wichita St,N Colorado
Lipscomb,TN Martin
Duke,Temple
North Carolina,ETSU
Dayton,Miami OH
Illinois St,W Michigan
Bryant,Binghamton
Oklahoma St,Missouri St
W Kentucky,IUPUI
Gardner Webb,Tennessee Tech
Mercer,Alabama A&M
Memphis,Austin Peay
Duquesne,New Orleans
North Texas,Jackson St
NC State,Cleveland St
Ohio,Oakland
W Illinois,Edwardsville
Lehigh,St Francis PA
Air Force,Ark Pine Bluff
Maryland,S Carolina St
Texas St,TX Pan American
Bowling Green,Samford
UAB,South Alabama
Weber St,UC Irvine
Minnesota,USC
Michigan,Arkansas
New Mexico,Valparaiso
Chicago St,Alabama St
Villanova,Penn
Michigan St,Loyola-Chicago
Robert Morris,Hampton
Murray St,Evansville
Charlotte,C Michigan
Arizona,Clemson
Sam Houston St,Houston Bap
St John's,Fordham
Ball St,South Dakota
Arizona St,CS Northridge
SC Upstate,UT San Antonio
Illinois,Gonzaga
Holy Cross,Dartmouth
E Kentucky,Chattanooga
Marquette,Wisconsin
Buffalo,Niagara
Louisiana Tech,Southern Miss
Drake,IPFW
Butler,Northwestern
IL Chicago,Colorado St
Penn St,Army
New Hampshire,Yale
Morehead St,Indiana St
Boston College,St Francis NY
Toledo,E Illinois
Pacific,San Francisco
Rutgers,Iona
Drexel,Princeton
Vermont,Quinnipiac
Georgia Tech,UNC Wilmington
Davidson,Wofford
Pepperdine,Hawaii
W Carolina,Appalachian St
Loyola MD,St Peter's
Georgetown,Towson
Delaware St,Delaware
Albany NY,Colgate
Marshall,Coppin St
San Diego,Tulane
Northern Iowa,George Mason
William & Mary,Radford
McNeese St,ULL
San Jose St,CS Sacramento
Long Island,Hofstra
Seton Hall,Wake Forest
Utah Valley,Troy
UTEP,Idaho
Kansas St,G Washington
Middle Tenn St,Mississippi
E Michigan,Purdue
Nevada,Washington
Arkansas St,St Bonaventure
Houston,TX Southern
Cent Arkansas,SE Missouri St
BYU,Utah
UCLA,Texas
La Salle,Northeastern
Tulsa,TCU
West Virginia,Virginia Tech
Richmond,James Madison
DePaul,WI Milwaukee
Florida St,Maine
Iowa St,NE Omaha
Furman,Presbyterian
Manhattan,Siena
N Dakota St,North Dakota
Norfolk St,MD Baltimore Co
Creighton,Akron
Fairfield,Rider
Canisius,Marist
Columbia,American Univ
Hartford,F Dickinson
Washington St,Fresno St
Xavier,Kent
S Dakota St,CS Bakersfield
Florida Intl,Stetson
Lafayette,Sacred Heart
UNLV,California
Georgetown,Longwood
Virginia Tech,MS Valley St
ULL,Lamar
Detroit,Alabama St
Navy,Bryant
ULM,SE Louisiana
Seattle,E Washington
St Mary's CA,Jackson St
Auburn,Grambling
Michigan,Binghamton
Santa Clara,San Jose St
Stony Brook,St Francis NY
LSU,Chattanooga
Minnesota,N Dakota St
Nevada,Cal Poly SLO
Villanova,St Joseph's PA
Duquesne,West Virginia
Rutgers,G Washington
NJIT,Army
Harvard,Boston Univ
Ohio St,Savannah St
Maryland,Monmouth NJ
Long Island,Rice
Coppin St,MD Baltimore Co
DePaul,Arizona St
Baylor,Lamar
Niagara,Hartford
Fairfield,WI Milwaukee
Wisconsin,WI Green Bay
Temple,Towson
UCF,Bethune-Cookman
Illinois,Norfolk St
Albany NY,S Carolina St
McNeese St,Louisiana Tech
Colorado,Fresno St
Oregon St,Portland St
New Orleans,Nicholls St
Vermont,Dartmouth
UT Arlington,Houston Bap
Southern Univ,ULM
Belmont,Middle Tenn St
Washington,Seattle
CS Fullerton,Idaho St
Washington St,Jackson St
Tennessee,Wichita St
Alabama St,Troy
NC A&T,NJIT
FL Gulf Coast,Florida Intl
Miami FL,Charlotte
Army,Maine
Mississippi,ETSU
Boise St,LSU
UCF,Old Dominion
Pittsburgh,Bethune-Cookman
Southern Miss,Grambling
USC,UC Riverside
UCLA,Prairie View
Kentucky,Lipscomb
Arkansas,Alcorn St
Denver,NE Omaha
St Bonaventure,Cleveland St
Kansas,Belmont
IL Chicago,E Michigan
Dayton,FL Atlantic
Vanderbilt,Alabama A&M
Syracuse,Canisius
Stanford,UC Davis
Clemson,Florida A&M
NC State,Norfolk St
Loyola MD,Mt St Mary's
St Louis,TN Martin
Houston,ULL
Rhode Island,SMU
Oregon,Nebraska
Robert Morris,Duquesne
Marquette,Savannah St
Richmond,Stetson
VA Commonwealth,Alabama
Arizona St,Dartmouth
Ohio St,UNC Asheville
St John's,St Francis NY
N Dakota St,Towson
Cincinnati,Marshall
San Diego St,San Diego
Davidson,UNC Wilmington
Sam Houston St,Samford
Gonzaga,Kansas St
New Mexico,New Mexico St
Michigan,West Virginia
Auburn,Furman
Indiana St,IUPUI
Georgetown,W Carolina
Notre Dame,Purdue
Evansville,Alabama St
Gardner Webb,Citadel
Wagner,Coppin St
Texas,Texas St
Seton Hall,NC A&T
Tennessee Tech,WI Milwaukee
Oklahoma,Texas A&M
BYU,Weber St
Creighton,California
Louisville,Memphis
Iowa St,Drake
Loyola-Chicago,Mississippi St
Washington,Jackson St
Nevada,San Francisco
Bucknell,La Salle
Valparaiso,Missouri St
Detroit,Akron
Hartford,Rice
Iowa,Northern Iowa
Ark Little Rock,Tulsa
UC Irvine,Fresno St
Howard,Liberty
Jacksonville St,Presbyterian
Ball St,South Dakota
North Carolina,East Carolina
Wright St,Hofstra
Utah St,Utah Valley
Massachusetts,Elon
Ga Southern,Virginia Tech
TX Pan American,Lamar
Penn St,Delaware St
Santa Clara,Pacific
Iona,Georgia
Fordham,Princeton
S Illinois,WI Green Bay
Butler,Indiana
Winthrop,Ohio
Troy,Georgia St
S Dakota St,Montana
Arizona,Florida
Oklahoma St,Cent Arkansas
Long Island,Manhattan
Marist,Maine
Illinois St,Morgan St
Charlotte,Kennesaw
Illinois,E Kentucky
James Madison,UNC Greensboro
Arkansas St,Austin Peay
Fairfield,Drexel
Niagara,Vermont
Appalachian St,Missouri KC
Mercer,Chattanooga
Villanova,Delaware
Oregon St,Chicago St
Rutgers,UAB
Boston Univ,Quinnipiac
CS Fullerton,TX Southern
W Michigan,High Point
North Texas,SE Louisiana
Murray St,W Kentucky
DePaul,N Illinois
South Alabama,TAM C. Christi
McNeese St,Texas Tech
C Michigan,Pepperdine
Boston College,New Hampshire
Missouri,S Carolina St
Georgia Tech,Alabama St
Connecticut,MD E Shore
Canisius,Longwood
Colorado St,North Florida
Bucknell,St Francis PA
UC Davis,E Washington
Bradley,Ga Southern
Portland,CS Bakersfield
Temple,Alcorn St
Baylor,SC Upstate
Florida St,ULM
S Illinois,New Orleans
Notre Dame,IPFW
Southern Utah,North Dakota
Vanderbilt,Cornell
Jackson St,Seattle
Santa Clara,Cal Poly SLO
Northern Arizona,Montana St
Northwestern,Texas St
Syracuse,Detroit
UNLV,UTEP
Oakland,Valparaiso
Louisiana Tech,Ark Little Rock
Wofford,Jacksonville
Providence,Colgate
VA Commonwealth,W Kentucky
Akron,Ark Pine Bluff
Middle Tenn St,Tennessee St
Kansas,Richmond
Arizona,Oral Roberts
Wake Forest,Furman
Miami FL,UCF
Charleston So,ETSU
Auburn,Tennessee Tech
UCLA,Long Beach St
South Florida,Youngstown St
Iona,Liberty
Tennessee,Presbyterian
W Illinois,IL Chicago
Alabama A&M,Missouri St
Texas A&M,TAM C. Christi
TCU,Southern Univ
Michigan St,Bowling Green
Col Charleston,Old Dominion
Purdue,Ball St
Wyoming,Denver
Ohio St,Winthrop
Holy Cross,San Francisco
Kansas St,TX Southern
Georgia,Mercer
Utah,SMU
NC State,Stanford
California,Santa Barbara
Hampton,American Univ
UNC Asheville,Northeastern
LSU,UC Irvine
Stony Brook,Sacred Heart
Robert Morris,ULL
Nebraska,Jacksonville St
Lipscomb,Austin Peay
East Carolina,Gardner Webb
Southern Miss,Georgia St
Stetson,FL Atlantic
SF Austin,Oklahoma
Iowa,S Carolina St
Duke,Cornell
St Bonaventure,Citadel
Indiana,Mt St Mary's
Florida,SE Louisiana
Bradley,MS Valley St
Pittsburgh,Delaware St
Notre Dame,Kennesaw
St Mary's CA,Pacific
Tulane,TX Pan American
St Louis,E Illinois
Belmont,S Dakota St
Seattle,N Illinois
Oklahoma St,UT Arlington
Louisville,Florida Intl
Coastal Car,Clemson
SE Missouri St,New Orleans
Gonzaga,Campbell
Colorado St,CS Bakersfield
Virginia,Morgan St
Seton Hall,Longwood
Texas,North Carolina
Creighton,Tulsa
Marshall,Savannah St
Detroit,Alcorn St
Charlotte,Radford
Oregon St,Howard
Cincinnati,Xavier
Iowa St,Missouri KC
UNLV,Northern Iowa
UNC Wilmington,UNC Greensboro
St Peter's,Long Island
Samford,TN Martin
NC A&T,E Kentucky
Canisius,Temple
South Dakota,Morehead St
Portland,North Florida
Massachusetts,Ohio
Pepperdine,Alabama St
Wright St,Miami OH
UTEP,Oregon
Murray St,Arkansas St
Bucknell,Marist
Montana,Northern Arizona
Duquesne,W Michigan
South Carolina,Appalachian St
New Mexico,New Mexico St
West Virginia,Oakland
CS Sacramento,Montana St
Alabama,Texas Tech
Mississippi,Loy Marymount
Coppin St,Towson
Rice,Chicago St
Drake,NC Central
Utah Valley,Troy
WI Green Bay,Marquette
Illinois St,Dayton
Michigan,E Michigan
Kent,St Francis PA
Duke,Elon
SF Austin,Grambling
Weber St,E Washington
Valparaiso,IUPUI
Princeton,Rider
Tulane,Pepperdine
Lehigh,North Texas
La Salle,Iona
Portland St,Idaho St
Washington,Cal Poly SLO
C Michigan,Texas St
Wichita St,Charleston So
Boise St,Idaho
UC Davis,S Illinois
UAB,ULM
Utah St,Nicholls St
UC Irvine,USC
Memphis,Lipscomb
TX Pan American,Alabama St
Arkansas,Robert Morris
N Kentucky,Hampton
Colorado,Northern Arizona
VA Commonwealth,Longwood
Indiana,FL Atlantic
UT San Antonio,TAM C. Christi
Denver,Southern Utah
Rutgers,Howard
IPFW,Kennesaw
Delaware,Penn
Notre Dame,Niagara
N Dakota St,Morehead St
Northeastern,Central Conn
UCF,Stetson
Wyoming,Santa Barbara
Youngstown St,Bethune-Cookman
Connecticut,Fordham
Baylor,BYU
Tennessee,W Carolina
S Illinois,Nicholls St
Utah St,UC Davis
Santa Clara,Alcorn St
Washington St,Buffalo
Wagner,SMU
N Colorado,North Dakota
UNC Asheville,St John's
Maryland,Stony Brook
CS Northridge,Utah
Middle Tenn St,Vanderbilt
South Florida,Bowling Green
E Kentucky,High Point
Tennessee St,SC Upstate
Stanford,Northwestern
Quinnipiac,Albany NY
Montana,CS Sacramento
Oregon,Houston Bap
Ohio,MD E Shore
Oklahoma St,Tennessee Tech
North Carolina,McNeese St
California,Prairie View
Georgia Tech,Citadel
Seton Hall,Long Island
Iowa,Coppin St
La Salle,Sacred Heart
Kentucky,Marshall
Villanova,Monmouth NJ
Arkansas,Alabama A&M
Illinois St,Austin Peay
Minnesota,Lafayette
Santa Clara,Wagner
Louisville,W Kentucky
Seattle,Campbell
UTEP,Ark Pine Bluff
Houston,Chicago St
San Diego St,San Francisco
Tulane,Hofstra
W Michigan,Mt St Mary's
St Louis,Loy Marymount
Wisconsin,WI Milwaukee
New Mexico St,Missouri St
Arizona,ETSU
NC State,St Bonaventure
Drake,E Illinois
Georgetown,American Univ
WI Green Bay,South Dakota
Colorado St,Portland
South Alabama,Ark Little Rock
Arizona St,Texas Tech
UNLV,Canisius
Miami FL,Hawaii
SMU,Alcorn St
Vermont,F Dickinson
Nebraska,C Michigan
Wake Forest,UNC Greensboro
Bryant,Dartmouth
Boston Univ,Cornell
UCLA,Fresno St
Miami OH,IL Chicago
St Francis NY,Colgate
Jacksonville,Furman
Princeton,Bucknell
ULL,Duquesne
Utah St,S Illinois
Michigan St,Texas
Ga Southern,MS Valley St
UC Davis,Nicholls St
Drexel,Davidson
Washington,N Illinois
Hartford,Marist
West Virginia,Radford
Cincinnati,Wright St
North Florida,CS Bakersfield
Col Charleston,Coastal Car
G Washington,VMI
Dayton,Murray St
Missouri,Illinois
N Kentucky,Navy
James Madison,San Jose St
Georgia,USC
DePaul,MD Baltimore Co
Appalachian St,Presbyterian
Butler,Evansville
Air Force,UC Riverside
Kansas,Ohio St
TX Pan American,NE Omaha
Wichita St,Southern Miss
Northern Iowa,St Mary's CA
Mercer,Alabama
Massachusetts,East Carolina
Harvard,Holy Cross
Mississippi St,Cent Arkansas
Winthrop,Auburn
Oregon St,San Diego
Maine,FL Gulf Coast
South Carolina,Manhattan
NC Central,Utah Valley
Kansas St,Florida
S Dakota St,New Mexico
Loyola-Chicago,St Peter's
Rhode Island,Georgia St
Temple,Syracuse
Marquette,LSU
Kent,Arkansas St
Tulsa,Oral Roberts
Weber St,Portland St
Fairfield,St Joseph's PA
George Mason,Richmond
Boston College,Providence
Florida St,Charlotte
E Washington,Idaho St
Florida Intl,TX Southern
Old Dominion,Virginia
TCU,Rice
Oakland,E Michigan
Indiana St,Mississippi
Southern Univ,Texas A&M
SE Missouri St,Missouri KC
Wofford,Xavier
Virginia Tech,Bradley
Elon,Columbia
Clemson,S Carolina St
Colorado St,Virginia Tech
Akron,Cleveland St
Iona,Norfolk St
North Florida,Ga Southern
Penn St,New Hampshire
Hawaii,ETSU
Northwestern,Brown
Arizona,Miami FL
C Michigan,Ark Pine Bluff
Boise St,New Orleans
Pittsburgh,Kennesaw
UTEP,Nebraska
IUPUI,Ball St
Mississippi,San Francisco
San Diego St,Indiana St
Fordham,Siena
CS Bakersfield,MS Valley St
James Madison,San Diego
Portland,Bradley
San Francisco,ETSU
Mississippi,Hawaii
Indiana St,Miami FL
Arizona,San Diego St
BYU,Northern Arizona
St Mary's CA,Rhode Island
Loy Marymount,Morgan St
Arkansas St,ULL
Akron,TX Southern
IUPUI,IPFW
Canisius,Alcorn St
W Kentucky,Florida Intl
W Illinois,Oakland
FL Atlantic,Troy
New Mexico,Cincinnati
Southern Miss,Morehead St
Indiana,Jacksonville
Colgate,Binghamton
St Louis,Edwardsville
Bucknell,Loyola MD
UCF,Howard
LSU,Houston Bap
Belmont,Boston Univ
Memphis,Oral Roberts
Cornell,St Francis PA
Rutgers,Rider
Texas Tech,NC A&T
Albany NY,Navy
Villanova,NJIT
Nevada,Yale
Utah Valley,Austin Peay
Chattanooga,High Point
Gonzaga,Baylor
St Joseph's PA,Iona
North Dakota,Bowling Green
UCLA,Missouri
Brown,Providence
Seton Hall,Stony Brook
Ohio St,Chicago St
Wisconsin,Samford
Washington St,Idaho St
Kansas,American Univ
Maryland,Delaware St
VA Commonwealth,F Dickinson
Colorado,Hartford
La Salle,Siena
Boston Univ,Howard
BYU,Virginia Tech
Georgia Tech,Fordham
South Dakota,NE Omaha
Oakland,IUPUI
Syracuse,Alcorn St
Jacksonville St,Tennessee Tech
UT Arlington,New Mexico St
UAB,Northeastern
Florida St,Tulsa
Toledo,IL Chicago
Butler,Vanderbilt
Arkansas,Northwestern LA
Florida,Air Force
San Jose St,Texas St
Middle Tenn St,Florida Intl
Creighton,Evansville
South Carolina,Presbyterian
NC State,W Michigan
Texas,Rice
Arizona St,Coppin St
Michigan,C Michigan
Duke,Santa Clara
W Illinois,IPFW
Campbell,UNC Wilmington
Col Charleston,Vermont
Columbia,Manhattan
SF Austin,TAM C. Christi
East Carolina,Norfolk St
Oklahoma,Ohio
UC Irvine,UC Davis
Boston College,Holy Cross
Penn St,Duquesne
Cal Poly SLO,UC Riverside
Bradley,Drake
Georgia,Florida A&M
Nebraska,Nicholls St
Marquette,NC Central
Arkansas St,South Alabama
ULL,Ark Little Rock
Kansas St,Missouri KC
Loyola-Chicago,DePaul
Connecticut,Washington
Louisiana Tech,Denver
Tennessee St,E Illinois
Purdue,William & Mary
Loy Marymount,CS Bakersfield
Idaho,Seattle
CS Fullerton,Santa Barbara
Chattanooga,Utah Valley
North Carolina,UNLV
Texas A&M,Army
Davidson,Richmond
W Kentucky,North Texas
Stanford,Lafayette
SE Missouri St,TN Martin
Wagner,Penn
Houston,Prairie View
Massachusetts,N Illinois
Harvard,California
Tennessee,Xavier
South Florida,George Mason
Ga Southern,Georgia St
Utah St,UT San Antonio
Long Beach St,Pacific
TX Pan American,Portland
Louisville,Kentucky
Mt St Mary's,MD Baltimore Co
San Diego,Morgan St
N Dakota St,S Dakota St
Hawaii,CS Northridge
UCF,Belmont
Illinois,Auburn
St Peter's,Central Conn
Valparaiso,Murray St
High Point,Austin Peay
Bryant,Lehigh
Lamar,Long Island
ULM,FL Atlantic
Fairfield,Old Dominion
Towson,Oregon St
Southern Utah,N Colorado
G Washington,Sacred Heart
Virginia,Wofford
Wichita St,Northern Iowa
SMU,Furman
St Mary's CA,Yale
Memphis,Loyola MD
Missouri St,S Illinois
CS Bakersfield,NC A&T
Winthrop,Hampton
West Virginia,E Kentucky
Detroit,Canisius
Maine,Quinnipiac
Akron,Princeton
Tulane,Alabama
TCU,MS Valley St
Indiana St,Illinois St
Colgate,New Hampshire
Cornell,Binghamton
Alabama A&M,Mississippi St
St Francis NY,NJIT
USC,Dayton
Syracuse,Central Conn
Oklahoma,TAM C. Christi
Oregon St,TX Pan American
Utah St,Texas St
NC State,UNC Greensboro
Boston College,Dartmouth
Kansas St,South Dakota
Iona,St Bonaventure
Middle Tenn St,North Texas
Temple,Bowling Green
Denver,UT Arlington
St Louis,New Mexico
Texas Tech,Florida A&M
St Joseph's PA,Drexel
North Florida,Lipscomb
Minnesota,Michigan St
San Jose St,UT San Antonio
Oregon,Nevada
NE Omaha,Missouri KC
Fordham,Monmouth NJ
Col Charleston,Marist
Jacksonville St,TN Martin
Cincinnati,Pittsburgh
Army,Houston Bap
FL Gulf Coast,Kennesaw
Louisiana Tech,New Mexico St
F Dickinson,Longwood
Delaware,Rider
Albany NY,Brown
Mercer,Stetson
Chicago St,Toledo
Indiana,Iowa
Jacksonville,N Kentucky
Liberty,W Carolina
Gonzaga,Oklahoma St
St Mary's CA,Harvard
Clemson,Citadel
Maryland,IUPUI
Iowa St,Yale
Stony Brook,Manhattan
Marquette,Connecticut
FL Atlantic,Hofstra
Kentucky,E Michigan
VA Commonwealth,ETSU
Akron,Coppin St
Ohio St,Nebraska
Syracuse,Rutgers
Alabama A&M,Grambling
Richmond,Air Force
SC Upstate,Hampton
Louisville,Providence
Boise St,UT Arlington
Miami FL,La Salle
Kent,Cleveland St
Duke,Davidson
Lafayette,NJIT
Albany NY,MD Baltimore Co
Drexel,Georgia St
Georgia Tech,Chattanooga
Bucknell,Cornell
Florida Intl,Florida A&M
Ark Pine Bluff,MS Valley St
San Diego St,CS Bakersfield
Jacksonville,Lipscomb
Vanderbilt,William & Mary
Alcorn St,Prairie View
Vermont,New Hampshire
Butler,Penn
N Kentucky,North Florida
Villanova,St John's
Wichita St,Drake
Stetson,Kennesaw
South Florida,UCF
Loyola-Chicago,Valparaiso
Charlotte,UNC Asheville
NC Central,Winthrop
Wake Forest,Xavier
Columbia,Colgate
Mercer,FL Gulf Coast
Creighton,Illinois St
Purdue,Illinois
Auburn,Florida St
Bradley,S Illinois
Tulsa,Buffalo
Southern Univ,TX Southern
Maine,Boston Univ
Santa Clara,San Francisco
IPFW,Navy
Campbell,East Carolina
Towson,UNC Wilmington
IL Chicago,Youngstown St
NC A&T,Radford
UAB,Ga Southern
Indiana St,Northern Iowa
Alabama St,Jackson St
Colorado St,UTEP
W Illinois,Savannah St
James Madison,Old Dominion
Hartford,Binghamton
Wyoming,SMU
Evansville,Missouri St
Delaware St,Marshall
Massachusetts,Miami OH
Ball St,Norfolk St
Seton Hall,DePaul
Arizona St,Utah
Mississippi St,New Orleans
BYU,Loy Marymount
SF Austin,Lamar
Michigan,Northwestern
N Dakota St,South Dakota
Houston,TX Pan American
Weber St,N Colorado
UNLV,Chicago St
Niagara,Marist
Fairfield,Canisius
New Mexico St,UT San Antonio
North Texas,Troy
Gonzaga,Pepperdine
S Dakota St,Missouri KC
Detroit,WI Milwaukee
Northwestern LA,McNeese St
Montana,E Washington
American Univ,MD E Shore
Oral Roberts,SE Louisiana
UCLA,California
North Dakota,Idaho St
Oakland,NE Omaha
San Diego,Portland
Wright St,WI Green Bay
E Kentucky,E Illinois
Belmont,Jacksonville St
Murray St,TN Martin
Denver,Texas St
Northeastern,George Mason
Wisconsin,Penn St
Arizona,Colorado
Utah St,Seattle
Idaho,San Jose St
Ark Little Rock,W Kentucky
Bryant,Robert Morris
St Francis PA,Central Conn
F Dickinson,Mt St Mary's
Northern Arizona,CS Sacramento
Tennessee St,Tennessee Tech
Arkansas St,Middle Tenn St
Cal Poly SLO,Long Beach St
South Alabama,ULM
FL Atlantic,ULL
Sacred Heart,Long Island
Wagner,Monmouth NJ
Morehead St,Edwardsville
Nicholls St,Cent Arkansas
Montana St,Portland St
Santa Barbara,UC Irvine
St Francis NY,Quinnipiac
SE Missouri St,Austin Peay
USC,Stanford
Hawaii,CS Fullerton
UC Riverside,CS Northridge
Mississippi,Fordham
Valparaiso,Cleveland St
Alabama St,Grambling
Rhode Island,Brown
Georgia,G Washington
TX Southern,Alcorn St
St Louis,Savannah St
Texas A&M,Houston Bap
Yale,Holy Cross
Loyola MD,Rider
Memphis,Tennessee
Southern Univ,Prairie View
Iona,Siena
Manhattan,St Peter's
Alabama A&M,Jackson St
Ohio,Marshall
Arkansas,Delaware St
Davidson,UNC Greensboro
Weber St,North Dakota
Belmont,Tennessee Tech
UCF,Florida A&M
Harvard,Rice
Northwestern LA,Lamar
SF Austin,McNeese St
Vermont,Albany NY
Michigan St,Purdue
Maryland,Virginia Tech
FL Gulf Coast,Jacksonville
Idaho St,N Colorado
UNLV,CS Bakersfield
Colorado St,St Bonaventure
Bryant,St Francis PA
Alabama,Oakland
Notre Dame,Seton Hall
Illinois,Ohio St
N Dakota St,Missouri KC
CS Fullerton,CS Northridge
Duke,Wake Forest
IPFW,NE Omaha
La Salle,Penn
W Carolina,Citadel
Evansville,S Illinois
Stony Brook,New Hampshire
LSU,Bethune-Cookman
Georgia St,James Madison
North Florida,Stetson
Colgate,Dartmouth
Maine,MD Baltimore Co
Morehead St,E Illinois
Hawaii,UC Riverside
Massachusetts,E Michigan
UNC Asheville,Liberty
Tulane,Wofford
Arkansas St,W Kentucky
High Point,Winthrop
Southern Utah,Northern Arizona
Butler,New Orleans
Miami FL,Georgia Tech
St Mary's CA,Loy Marymount
Creighton,Indiana St
Wagner,F Dickinson
Oral Roberts,Nicholls St
ULM,North Texas
Columbia,Army
Campbell,Gardner Webb
Delaware,Old Dominion
Mt St Mary's,Monmouth NJ
Missouri St,Drake
South Carolina,S Carolina St
New Mexico St,Texas St
Princeton,Elon
St Joseph's PA,Morgan St
Oklahoma,West Virginia
Howard,Coppin St
Northern Iowa,Illinois St
DePaul,Providence
Pacific,UC Davis
Texas Tech,TCU
Tennessee St,Jacksonville St
VMI,Presbyterian
Canisius,Marist
Murray St,SE Missouri St
Coastal Car,Longwood
Detroit,WI Green Bay
Kennesaw,Mercer
California,USC
UCLA,Stanford
Quinnipiac,Long Island
Dayton,UAB
Charleston So,Radford
George Mason,William & Mary
Baylor,Texas
Pepperdine,Portland
Gonzaga,Santa Clara
Central Conn,Robert Morris
Montana,Portland St
Utah St,Idaho
Long Beach St,Santa Barbara
Kansas St,Oklahoma St
Norfolk St,Navy
E Kentucky,Edwardsville
NC A&T,Ga Southern
SC Upstate,N Kentucky
Rutgers,Pittsburgh
Washington,Washington St
NC State,Boston College
Florida St,Clemson
Florida Intl,ULL
NJIT,Utah Valley
Cal Poly SLO,UC Irvine
San Jose St,Seattle
Northeastern,UNC Wilmington
W Illinois,IUPUI
Middle Tenn St,South Alabama
BYU,San Francisco
Niagara,Fairfield
Sam Houston St,TAM C. Christi
SE Louisiana,Cent Arkansas
Col Charleston,Furman
VA Commonwealth,Lehigh
Lipscomb,ETSU
Chattanooga,Samford
Hartford,Boston Univ
Towson,Drexel
Arizona,Utah
South Dakota,S Dakota St
Louisiana Tech,UT Arlington
Troy,Ark Little Rock
Missouri,Bucknell
Montana St,E Washington
Youngstown St,Loyola-Chicago
TN Martin,Austin Peay
Wright St,WI Milwaukee
Marquette,Georgetown
Sacred Heart,St Francis NY
St John's,Cincinnati
Southern Univ,Grambling
Michigan,Iowa
Denver,UT San Antonio
Florida,Yale
Rider,Siena
Minnesota,Northwestern
Loyola MD,St Peter's
Ark Pine Bluff,Alabama St
Oregon,Oregon St
Syracuse,South Florida
MS Valley St,Alabama A&M
Arizona St,Colorado
Virginia,North Carolina
Cornell,American Univ
Iona,Manhattan
Kansas,Temple
Wisconsin,Nebraska
Wichita St,Bradley
TX Southern,Prairie View
Alcorn St,Jackson St
Tulsa,SMU
SC Upstate,Lipscomb
Indiana,Penn St
Albany NY,Binghamton
Cleveland St,IL Chicago
Stetson,Jacksonville
Northwestern LA,Sam Houston St
Notre Dame,Cincinnati
ETSU,N Kentucky
CS Sacramento,Southern Utah
Hampton,James Madison
SE Louisiana,Lamar
Florida Intl,Bethune-Cookman
Hofstra,Georgia St
FL Gulf Coast,North Florida
Nicholls St,McNeese St
Baylor,Texas Tech
Alcorn St,Grambling
Creighton,Drake
Duke,Clemson
Pittsburgh,Georgetown
Connecticut,DePaul
Dartmouth,Army
Missouri,Alabama
Ark Pine Bluff,Alabama A&M
Southern Univ,Jackson St
Boston Univ,Vermont
TX Pan American,Houston Bap
Ohio St,Purdue
Holy Cross,Columbia
Missouri St,Illinois St
San Jose St,New Orleans
Northeastern,Drexel
Alabama St,MS Valley St
Lafayette,Penn
Brown,Niagara
